carreira;origem;destino;tempo
01; 183; 791; 0.09
01; 791; 595; 0.70
01; 595; 182; 0.42
01; 182; 499; 2.00
01; 499; 593; 0.25
01; 593; 181; 1.73
01; 181; 180; 0.13
01; 180; 594; 0.51
01; 594; 185; 0.49
01; 185; 89; 0.41
01; 89; 107; 0.66
01; 107; 250; 0.20
01; 250; 261; 0.36
01; 261; 597; 0.70
01; 597; 953; 0.07
01; 953; 609; 0.15
01; 609; 242; 0.78
01; 242; 255; 0.03
01; 255; 604; 1.37
01; 604; 628; 1.05
01; 628; 39; 0.93
01; 39; 50; 0.95
01; 50; 599; 1.72
01; 599; 40; 0.78
01; 40; 985; 0.34
01; 985; 608; 0.02
01; 608; 249; 1.32
01; 249; 254; 0.16
01; 254; 622; 1.60
01; 622; 51; 0.59
01; 51; 44; 0.60
01; 44; 251; 1.62
01; 251; 38; 2.19
01; 38; 620; 0.30
01; 620; 45; 0.01
01; 45; 614; 1.03
01; 614; 46; 0.02
01; 46; 42; 0.08
01; 42; 600; 0.02
01; 600; 602; 1.16
01; 602; 601; 0.01
01; 601; 48; 0.69
01; 48; 49; 0.06
01; 49; 612; 0.45
01; 612; 613; 0.02
01; 613; 611; 0.19
01; 611; 610; 0.01
01; 610; 336; 1.14
01; 336; 357; 0.10
01; 357; 334; 0.10
01; 334; 339; 0.13
01; 339; 347; 0.07
01; 347; 86; 0.15
01; 86; 85; 0.02
01; 85; 341; 0.16
01; 341; 342; 0.03
01; 342; 365; 0.21
01; 365; 366; 0.01
01; 366; 460; 0.28
01; 460; 468; 0.07
01; 468; 485; 0.16
01; 485; 486; 0.02
01; 486; 487; 0.17
01; 487; 488; 0.04
01; 488; 469; 0.20
01; 469; 462; 0.03
01; 462; 480; 0.14
01; 480; 494; 0.05
01; 494; 957; 0.11
01; 957; 465; 0.01
01; 465; 186; 0.67
01; 186; 466; 0.46
01; 466; 467; 0.02
01; 467; 78; 0.59
01; 78; 79; 0.28
02; 745; 736; 0.16
02; 736; 147; 0.23
02; 147; 156; 0.03
02; 156; 734; 0.31
02; 734; 161; 0.29
02; 161; 162; 0.03
02; 162; 172; 0.58
02; 172; 171; 0.01
02; 171; 595; 3.08
02; 595; 594; 0.27
02; 594; 185; 0.49
02; 185; 107; 0.26
02; 107; 237; 0.58
02; 237; 250; 0.39
02; 250; 261; 0.36
02; 261; 597; 0.70
02; 597; 953; 0.07
02; 953; 248; 1.01
02; 248; 244; 0.63
02; 244; 245; 0.02
02; 245; 243; 0.35
02; 243; 247; 0.23
02; 247; 609; 1.04
02; 609; 799; 2.52
02; 799; 599; 2.48
02; 599; 1010; 2.73
02; 1010; 246; 1.57
02; 246; 260; 0.02
02; 260; 227; 1.63
02; 227; 230; 0.33
02; 230; 234; 0.26
02; 234; 224; 0.26
02; 224; 239; 1.12
02; 239; 238; 0.01
02; 238; 226; 1.30
02; 226; 1001; 2.69
02; 1001; 607; 0.03
02; 607; 232; 2.46
02; 232; 52; 0.03
02; 52; 233; 0.13
02; 233; 231; 0.01
02; 231; 241; 0.96
02; 241; 240; 0.01
02; 240; 859; 1.23
02; 859; 858; 0.02
02; 858; 332; 1.37
02; 332; 331; 0.02
02; 331; 315; 0.76
02; 315; 312; 0.04
02; 312; 360; 1.85
02; 360; 313; 1.30
02; 313; 323; 0.03
02; 323; 351; 1.25
02; 351; 352; 0.12
02; 352; 339; 0.21
02; 339; 347; 0.07
02; 347; 86; 0.15
02; 86; 85; 0.02
02; 85; 341; 0.16
02; 341; 342; 0.03
02; 342; 346; 0.21
02; 346; 343; 0.05
02; 343; 345; 0.12
02; 345; 344; 0.04
02; 344; 363; 0.29
02; 363; 335; 0.02
02; 335; 457; 0.30
02; 457; 458; 0.09
02; 458; 490; 0.41
02; 490; 491; 0.05
02; 491; 56; 0.31
02; 56; 655; 0.01
02; 655; 654; 0.16
02; 654; 78; 0.09
02; 78; 80; 0.28
06; 745; 736; 0.16
06; 736; 147; 0.23
06; 147; 156; 0.03
06; 156; 161; 0.60
06; 161; 162; 0.03
06; 162; 172; 0.58
06; 172; 171; 0.01
06; 171; 799; 1.13
06; 799; 1010; 0.24
06; 1010; 227; 0.13
06; 227; 230; 0.33
06; 230; 234; 0.26
06; 234; 224; 0.26
06; 224; 226; 0.20
06; 226; 232; 0.28
06; 232; 52; 0.03
06; 52; 233; 0.13
06; 233; 231; 0.01
06; 231; 886; 1.81
06; 886; 473; 0.33
06; 473; 470; 0.02
06; 470; 483; 0.20
06; 483; 482; 0.01
06; 482; 476; 0.45
06; 476; 904; 0.02
06; 904; 472; 0.23
06; 472; 902; 0.05
06; 902; 893; 0.51
06; 893; 465; 0.08
06; 465; 186; 0.67
06; 186; 652; 0.32
06; 652; 6; 0.03
06; 6; 466; 0.77
06; 466; 9; 0.85
06; 9; 467; 0.86
06; 467; 78; 0.59
7; 183; 791; 0.09
7; 791; 595; 0.70
7; 595; 182; 0.42
7; 182; 181; 0.04
7; 181; 180; 0.13
7; 180; 594; 0.51
7; 594; 185; 0.49
7; 185; 89; 0.41
7; 89; 90; 0.03
7; 90; 107; 0.66
7; 107; 250; 0.20
7; 250; 597; 0.34
7; 597; 953; 0.07
7; 953; 609; 0.15
7; 609; 599; 0.08
7; 599; 1001; 0.38
7; 1001; 607; 0.03
10; 183; 791; 0.09
10; 791; 595; 0.70
10; 595; 182; 0.42
10; 182; 181; 0.04
10; 181; 180; 0.13
10; 180; 594; 0.51
10; 594; 185; 0.49
10; 185; 89; 0.41
10; 89; 107; 0.66
10; 107; 250; 0.20
10; 250; 261; 0.36
10; 261; 597; 0.70
10; 597; 953; 0.07
10; 953; 605; 0.28
10; 605; 606; 0.03
10; 606; 609; 0.30
10; 609; 82; 0.56
10; 82; 604; 0.06
10; 604; 628; 1.05
10; 628; 39; 0.93
10; 39; 50; 0.95
10; 50; 599; 1.72
10; 599; 40; 0.78
10; 40; 622; 0.19
10; 622; 51; 0.59
10; 51; 38; 0.05
10; 38; 620; 0.30
10; 620; 45; 0.01
10; 45; 602; 0.20
10; 602; 601; 0.01
10; 601; 860; 1.59
10; 860; 861; 0.04
10; 861; 359; 0.11
10; 359; 349; 0.03
10; 349; 29; 0.70
10; 29; 646; 0.17
10; 646; 642; 0.03
10; 642; 30; 0.21
10; 30; 17; 0.30
10; 17; 643; 0.50
10; 643; 20; 0.05
10; 20; 36; 0.46
10; 36; 638; 0.64
10; 638; 637; 0.02
10; 637; 361; 1.04
10; 361; 362; 0.03
10; 362; 37; 0.32
10; 37; 26; 0.01
10; 26; 27; 0.19
10; 27; 28; 0.03
10; 28; 641; 0.88
10; 641; 635; 0.06
10; 635; 679; 0.38
10; 679; 688; 0.04
10; 688; 675; 0.21
10; 675; 72; 0.05
10; 72; 75; 0.22
10; 75; 671; 0.02
10; 671; 657; 0.22
10; 657; 70; 0.10
10; 70; 526; 0.26
11; 859; 858; 0.02
11; 858; 360; 0.31
11; 360; 370; 0.40
11; 370; 351; 0.46
11; 351; 19; 0.61
11; 19; 371; 0.15
11; 371; 18; 0.17
11; 18; 352; 0.74
11; 352; 16; 0.84
11; 16; 339; 1.00
11; 339; 347; 0.07
11; 347; 362; 0.78
11; 362; 26; 0.32
11; 26; 27; 0.19
11; 27; 28; 0.03
11; 28; 86; 0.90
11; 86; 348; 0.76
11; 348; 85; 0.77
11; 85; 337; 0.51
11; 337; 338; 0.02
11; 338; 341; 0.43
11; 341; 342; 0.03
11; 342; 346; 0.21
11; 346; 345; 0.17
11; 345; 344; 0.04
11; 344; 363; 0.29
11; 363; 335; 0.02
11; 335; 492; 0.22
11; 492; 340; 0.03
11; 340; 468; 0.24
11; 468; 485; 0.16
11; 485; 486; 0.02
11; 486; 487; 0.17
11; 487; 488; 0.04
12; 712; 713; 0.02
12; 713; 714; 0.20
12; 714; 128; 0.04
12; 128; 745; 0.19
12; 745; 736; 0.16
12; 736; 147; 0.23
12; 147; 153; 0.27
12; 153; 149; 0.24
12; 149; 734; 0.05
12; 734; 159; 0.52
12; 159; 155; 0.04
12; 155; 741; 0.33
12; 741; 742; 0.02
12; 742; 686; 0.66
12; 686; 687; 0.01
12; 687; 87; 0.24
12; 87; 154; 0.03
12; 154; 709; 0.47
12; 709; 1014; 0.03
12; 1014; 68; 0.02
12; 68; 788; 0.29
12; 788; 170; 0.02
12; 170; 183; 1.28
12; 183; 791; 0.09
12; 791; 595; 0.70
12; 595; 182; 0.42
12; 182; 181; 0.04
12; 181; 180; 0.13
12; 180; 594; 0.51
12; 594; 185; 0.49
12; 185; 89; 0.41
12; 89; 90; 0.03
12; 90; 107; 0.66
12; 107; 250; 0.20
12; 250; 597; 0.34
12; 597; 953; 0.07
12; 953; 806; 1.34
12; 806; 609; 1.31
12; 609; 599; 0.08
12; 599; 860; 0.78
12; 860; 861; 0.04
12; 861; 359; 0.11
12; 359; 349; 0.03
12; 349; 643; 0.92
12; 643; 638; 0.19
12; 638; 637; 0.02
12; 637; 361; 1.04
12; 361; 362; 0.03
12; 362; 25; 0.83
12; 25; 37; 0.51
12; 37; 26; 0.01
12; 26; 24; 0.49
12; 24; 22; 0.31
12; 22; 27; 0.37
12; 27; 28; 0.03
12; 28; 34; 0.40
12; 34; 641; 0.49
12; 641; 635; 0.06
12; 635; 679; 0.38
12; 679; 688; 0.04
12; 688; 675; 0.21
12; 675; 72; 0.05
12; 72; 75; 0.22
12; 75; 671; 0.02
12; 671; 657; 0.22
12; 657; 70; 0.10
12; 70; 526; 0.26
13; 128; 745; 0.19
13; 745; 736; 0.16
13; 736; 147; 0.23
13; 147; 156; 0.03
13; 156; 734; 0.31
13; 734; 161; 0.29
13; 161; 162; 0.03
13; 162; 172; 0.58
13; 172; 171; 0.01
13; 171; 183; 2.46
13; 183; 791; 0.09
13; 791; 595; 0.70
13; 595; 182; 0.42
13; 182; 181; 0.04
13; 181; 180; 0.13
13; 180; 594; 0.51
13; 594; 185; 0.49
13; 185; 89; 0.41
13; 89; 90; 0.03
13; 90; 107; 0.66
13; 107; 250; 0.20
13; 250; 597; 0.34
13; 597; 953; 0.07
13; 953; 248; 1.01
13; 248; 243; 0.27
13; 243; 247; 0.23
13; 247; 609; 1.04
13; 609; 242; 0.78
13; 242; 255; 0.03
13; 255; 82; 1.31
13; 82; 604; 0.06
13; 604; 628; 1.05
13; 628; 799; 4.19
13; 799; 39; 3.26
13; 39; 50; 0.95
13; 50; 599; 1.72
13; 599; 40; 0.78
13; 40; 1010; 3.51
13; 1010; 246; 1.57
13; 246; 260; 0.02
13; 260; 985; 1.63
13; 985; 608; 0.02
13; 608; 249; 1.32
13; 249; 254; 0.16
13; 254; 227; 2.11
13; 227; 622; 3.71
13; 622; 230; 3.39
13; 230; 51; 3.98
13; 51; 44; 0.60
13; 44; 234; 3.64
13; 234; 38; 4.21
13; 38; 224; 3.96
13; 224; 620; 3.67
13; 620; 45; 0.01
13; 45; 614; 1.03
13; 614; 239; 1.51
13; 239; 238; 0.01
13; 238; 46; 1.52
13; 46; 226; 2.81
13; 226; 42; 2.89
13; 42; 600; 0.02
13; 600; 602; 1.16
13; 602; 601; 0.01
13; 601; 48; 0.69
13; 48; 49; 0.06
13; 49; 232; 3.06
13; 232; 52; 0.03
13; 52; 612; 2.63
13; 612; 613; 0.02
13; 613; 233; 2.65
13; 233; 231; 0.01
13; 231; 241; 0.96
13; 241; 240; 0.01
13; 240; 611; 1.78
13; 611; 610; 0.01
13; 610; 859; 0.55
13; 859; 858; 0.02
13; 858; 861; 0.07
13; 861; 332; 1.44
13; 332; 331; 0.02
13; 331; 315; 0.76
13; 315; 312; 0.04
13; 312; 313; 0.55
13; 313; 323; 0.03
13; 323; 351; 1.25
13; 351; 19; 0.61
13; 19; 371; 0.15
13; 371; 16; 0.27
13; 16; 339; 1.00
13; 339; 26; 1.05
13; 26; 27; 0.19
13; 27; 86; 0.93
13; 86; 338; 0.49
13; 338; 342; 0.41
13; 342; 345; 0.10
13; 345; 363; 0.33
13; 363; 492; 0.20
13; 492; 460; 0.21
13; 460; 468; 0.07
13; 468; 486; 0.15
13; 486; 487; 0.17
15; 706; 703; 0.03
15; 703; 719; 0.35
15; 719; 718; 0.03
15; 718; 728; 0.29
15; 728; 729; 0.02
15; 729; 724; 0.57
15; 724; 129; 0.03
15; 129; 763; 0.70
15; 763; 754; 0.04
15; 754; 183; 4.99
15; 183; 791; 0.09
15; 791; 595; 0.70
15; 595; 182; 0.42
15; 182; 181; 0.04
15; 181; 180; 0.13
15; 180; 594; 0.51
15; 594; 185; 0.49
15; 185; 89; 0.41
15; 89; 90; 0.03
15; 90; 107; 0.66
15; 107; 250; 0.20
15; 250; 597; 0.34
15; 597; 953; 0.07
15; 953; 248; 1.01
15; 248; 243; 0.27
15; 243; 247; 0.23
15; 247; 609; 1.04
15; 609; 242; 0.78
15; 242; 255; 0.03
15; 255; 82; 1.31
15; 82; 604; 0.06
15; 604; 798; 6.52
15; 798; 628; 7.57
15; 628; 799; 4.19
15; 799; 39; 3.26
15; 39; 50; 0.95
15; 50; 599; 1.72
15; 599; 40; 0.78
15; 40; 1010; 3.51
15; 1010; 246; 1.57
15; 246; 260; 0.02
15; 260; 985; 1.63
15; 985; 608; 0.02
15; 608; 249; 1.32
15; 249; 254; 0.16
15; 254; 205; 5.20
15; 205; 622; 6.80
15; 622; 230; 3.39
15; 230; 51; 3.98
15; 51; 44; 0.60
15; 44; 234; 3.64
15; 234; 38; 4.21
15; 38; 224; 3.96
15; 224; 620; 3.67
15; 620; 45; 0.01
15; 45; 614; 1.03
15; 614; 239; 1.51
15; 239; 238; 0.01
15; 238; 46; 1.52
15; 46; 226; 2.81
15; 226; 42; 2.89
15; 42; 600; 0.02
15; 600; 602; 1.16
15; 602; 601; 0.01
15; 601; 48; 0.69
15; 48; 192; 6.50
15; 192; 190; 0.02
15; 190; 49; 6.48
15; 49; 232; 3.06
15; 232; 52; 0.03
15; 52; 612; 2.63
15; 612; 613; 0.02
15; 613; 193; 6.05
15; 193; 233; 3.40
15; 233; 231; 0.01
15; 231; 241; 0.96
15; 241; 240; 0.01
15; 240; 611; 1.78
15; 611; 610; 0.01
15; 610; 286; 6.07
15; 286; 332; 4.15
15; 332; 331; 0.02
15; 331; 315; 0.76
15; 315; 312; 0.04
15; 312; 314; 0.10
15; 314; 292; 3.86
15; 292; 295; 0.02
15; 295; 313; 4.50
15; 313; 270; 4.74
15; 270; 293; 0.52
15; 293; 323; 4.21
15; 323; 291; 4.20
15; 291; 278; 0.64
15; 278; 280; 0.03
23; 706; 703; 0.03
23; 703; 100; 0.22
23; 100; 718; 0.24
23; 718; 729; 0.29
23; 729; 131; 0.30
23; 131; 129; 0.83
23; 129; 720; 0.57
101; 106; 711; 1.39
101; 711; 125; 0.02
101; 125; 1013; 1.41
101; 1013; 103; 0.20
101; 103; 127; 1.15
101; 127; 715; 0.04
101; 715; 102; 1.23
101; 102; 101; 0.03
101; 101; 134; 0.15
101; 134; 744; 1.00
101; 744; 135; 0.81
101; 135; 136; 0.02
101; 136; 152; 0.68
101; 152; 732; 0.23
101; 732; 740; 0.03
101; 740; 146; 0.16
101; 146; 737; 0.40
101; 737; 145; 0.44
101; 145; 160; 0.46
101; 160; 148; 0.19
101; 148; 733; 0.01
102; 711; 125; 0.02
102; 125; 127; 0.20
102; 127; 715; 0.04
102; 715; 744; 0.19
102; 744; 744; 0.00
102; 744; 152; 0.16
102; 152; 732; 0.23
102; 732; 733; 0.32
102; 733; 151; 0.05
102; 151; 743; 0.52
102; 743; 739; 0.04
102; 739; 158; 0.33
102; 158; 157; 0.02
102; 157; 84; 0.66
102; 84; 83; 0.01
102; 83; 690; 0.24
102; 690; 738; 0.03
102; 738; 708; 0.47
102; 708; 1015; 0.03
102; 1015; 1016; 0.02
102; 1016; 169; 0.29
102; 169; 789; 0.02
102; 789; 817; 1.24
102; 817; 815; 0.63
102; 815; 814; 0.02
102; 814; 813; 0.35
102; 813; 235; 0.08
102; 235; 816; 0.28
102; 816; 236; 0.11
102; 236; 223; 1.39
102; 223; 1009; 0.24
102; 1009; 801; 0.29
102; 801; 805; 0.26
102; 805; 808; 1.37
102; 808; 809; 0.01
102; 809; 800; 1.30
102; 800; 229; 0.68
102; 229; 803; 0.43
102; 803; 632; 0.03
102; 632; 804; 0.13
102; 804; 802; 0.01
102; 802; 811; 0.96
102; 811; 810; 0.01
102; 810; 841; 0.21
102; 841; 842; 0.02
102; 842; 837; 0.76
102; 837; 835; 0.04
102; 835; 836; 0.55
102; 836; 838; 0.03
102; 838; 454; 1.50
102; 454; 455; 0.01
102; 455; 453; 0.17
106; 711; 125; 0.02
106; 125; 127; 0.20
106; 127; 715; 0.04
106; 715; 744; 0.19
106; 744; 152; 0.16
106; 152; 732; 0.23
106; 732; 780; 1.17
106; 780; 752; 1.50
106; 752; 751; 0.01
106; 751; 779; 1.48
106; 779; 775; 0.95
